City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,innisfail,-17.5333,146.0333,299.16,71,84,4.48,AU,1667520681
249,padang,-0.9492,100.3543,296.18,84,100,1.5,ID,1667520681
250,lasa,46.6166,10.7002,281.13,99,100,2.47,IT,1667520682
251,talcahuano,-36.7167,-73.1167,284.97,82,100,2.57,CL,1667520518
252,kisangani,0.5167,25.2,293.35,98,100,0.4,CD,1667520683
253,pedro ii,-4.4247,-41.4586,297.02,69,81,3.23,BR,1667520683
254,sobolevo,54.4299,31.8996,277.72,92,100,1.35,RU,1667520683
255,conde,-7.2597,-34.9075,298.85,78,20,4.63,BR,1667520684
256,cap malheureux,-19.9842,57.6142,296.74,74,27,2.68,MU,1667520684
257,tiksi,71.6872,128.8694,253.39,98,88,3.11,RU,1667520685
258,victoria,22.2855,114.1577,296.62,92,87,3.13,HK,1667520486
259,pangnirtung,66.1451,-65.7125,260.78,88,86,5.46,CA,1667520685
260,mehtar lam,34.6714,70.2094,292.05,45,99,0.99,AF,1667520686
261,kavieng,-2.5744,150.7967,302.63,66,88,0.2,PG,1667520686
262,shelburne,44.0787,-80.2041,285.15,91,38,4.93,CA,1667520682
263,acapulco,16.8634,-99.8901,301.05,78,0,5.66,MX,1667520478
264,nortelandia,-14.4547,-56.8028,293.45,53,6,1.11,BR,1667520687
265,kavaratti,10.5669,72.642,300.6,74,73,2.38,IN,1667520687
266,geraldton,-28.7667,114.6,292.38,88,40,3.6,AU,1667520687
267,chokurdakh,70.6333,147.9167,247.38,95,98,1.45,RU,1667520688
268,xique-xique,-10.8218,-42.7263,296.52,84,100,6.02,BR,1667520688
269,dudinka,69.4058,86.1778,264.61,89,100,8.03,RU,1667520688
270,port hardy,50.6996,-127.4199,277.42,97,100,11.59,CA,1667520689
271,bethel,41.3712,-73.414,287.24,76,0,0.0,US,1667520689
272,sandwick,60.0,-1.25,283.05,71,100,6.69,GB,1667520690
273,lamont,35.2597,-118.9143,287.59,51,96,2.5,US,1667520690
274,srednekolymsk,67.45,153.6833,245.72,93,69,1.38,RU,1667520395
275,emerald,-23.5333,148.1667,295.56,39,0,4.42,AU,1667520691
276,ambilobe,-13.2,49.05,293.39,89,10,2.06,MG,1667520691
277,lompoc,34.6391,-120.4579,290.84,63,0,8.75,US,1667520692
278,ust-tsilma,65.441,52.1498,261.16,96,51,0.6,RU,1667520692
279,alberton,46.8168,-64.0654,282.65,60,43,9.11,CA,1667520692
280,auras,26.9167,80.5167,292.12,61,0,0.73,IN,1667520693
281,gubskaya,44.3164,40.6358,280.78,98,93,0.31,RU,1667520693
282,beloha,-25.1667,45.05,290.65,85,44,2.93,MG,1667520694
283,liberty,31.8335,-81.5004,293.14,83,0,2.06,US,1667520405
284,kostyantynivka,48.5277,37.7069,279.38,92,100,0.98,UA,1667520695
285,luganville,-15.5333,167.1667,301.95,66,8,3.16,VU,1667520695
286,aleksandrovsk-sakhalinskiy,50.8975,142.1561,273.31,88,100,10.13,RU,1667520695
287,taman,45.2117,36.7161,284.83,65,83,4.95,RU,1667520696
288,monkey bay,-14.0728,34.9201,300.27,60,51,4.65,MW,1667520696
289,khorinsk,52.1657,109.7726,265.36,72,91,1.85,RU,1667520697
290,jega,12.2175,4.3792,299.72,26,95,3.81,NG,1667520697
291,vao,-22.6667,167.4833,297.41,82,8,5.1,NC,1667520697
292,mogadishu,2.0371,45.3438,298.33,81,56,2.85,SO,1667520698
293,hobyo,5.3505,48.5268,299.51,71,9,2.74,SO,1667520627
294,clyde river,70.4692,-68.5914,266.28,93,100,8.75,CA,1667520698
295,clearwater,27.9659,-82.8001,300.33,74,0,5.66,US,1667520698
296,san andres,12.5847,-81.7006,300.16,83,75,2.06,CO,1667520699
297,ocampo,21.65,-101.5,293.14,36,20,2.98,MX,1667520699
298,san patricio,28.017,-97.5169,300.07,81,26,6.33,US,1667520480
299,doka,13.5167,35.7667,298.13,41,1,1.0,SD,1667520618
300,tigil,57.8,158.6667,271.2,90,96,1.68,RU,1667520700
301,isangel,-19.55,169.2667,301.33,68,4,3.36,VU,1667520700
302,bahia blanca,-38.7196,-62.2724,293.43,36,0,4.33,AR,1667520563
303,semnan,35.5729,53.3971,284.89,52,19,2.87,IR,1667520701
304,praia,14.9215,-23.5087,299.45,65,0,6.17,CV,1667520701
305,terney,45.0503,136.6092,272.39,43,17,4.38,RU,1667520702
306,shimoda,34.6667,138.95,291.54,54,78,9.33,JP,1667520702
307,znamenskoye,57.1281,73.8282,274.11,98,98,3.39,RU,1667520702
308,rijeka,45.3431,14.4092,289.93,90,40,3.09,HR,1667520493
309,san cristobal,7.7669,-72.225,296.25,98,87,2.14,VE,1667520703
310,aksarka,66.5606,67.7975,257.8,92,5,0.91,RU,1667520703
311,esperance,-33.8667,121.9,294.22,49,87,9.51,AU,1667520704
312,smidovich,48.6,133.8167,269.4,53,0,5.15,RU,1667520704
313,college,64.8569,-147.8028,263.75,83,100,4.12,US,1667520704
314,mar del plata,-38.0023,-57.5575,287.09,85,0,7.15,AR,1667520458
315,luderitz,-26.6481,15.1594,287.7,91,0,1.26,NA,1667520623
316,cartagena,10.3997,-75.5144,300.94,78,75,2.06,CO,1667520705
317,hasaki,35.7333,140.8333,291.37,57,100,2.36,JP,1667520706
318,havoysund,70.9963,24.6622,278.28,91,99,4.86,NO,1667520706
319,ndioum,16.5129,-14.6471,301.89,11,0,4.27,SN,1667520707
320,aykhal,66.0,111.5,259.31,94,100,10.3,RU,1667520707
321,komsomolskiy,40.4272,71.7189,285.55,82,40,0.0,UZ,1667520707
322,gornozavodsk,58.3758,58.3211,267.56,97,86,1.5,RU,1667520708
323,iskateley,67.6803,53.1512,264.78,89,61,2.78,RU,1667520708
324,tecolutla,20.4833,-97.0167,300.07,80,84,3.12,MX,1667520708
325,lubao,14.9167,120.55,299.92,83,16,2.45,PH,1667520709
326,trujillo,-8.116,-79.03,289.13,88,39,5.66,PE,1667520505
327,kuito,-12.3833,16.9333,287.07,91,77,2.03,AO,1667520709
328,jinchang,38.4953,102.1739,276.18,42,0,3.06,CN,1667520658
329,gravdal,68.1214,13.5031,281.3,84,100,2.98,NO,1667520710
330,qui nhon,13.7667,109.2333,296.42,83,92,2.73,VN,1667520639
331,iqaluit,63.7506,-68.5145,255.7,90,13,3.73,CA,1667520710
332,vung tau,10.346,107.0843,299.01,82,84,6.51,VN,1667520711
333,puerto leguizamo,-0.1934,-74.7819,291.86,82,100,1.03,CO,1667520711
334,jacksonville,30.3322,-81.6556,295.4,79,20,5.14,US,1667520413
335,macusani,-14.0833,-70.4333,278.62,65,95,1.78,PE,1667520712
336,hutchinson,38.0608,-97.9298,294.12,68,0,7.72,US,1667520585
337,lillooet,50.6856,-121.942,276.55,89,100,1.93,CA,1667520712
338,pimentel,-6.8367,-79.9342,290.52,82,62,5.83,PE,1667520712
339,grand gaube,-20.0064,57.6608,296.69,74,30,2.68,MU,1667520713
340,wajima,37.4,136.9,283.29,83,100,5.23,JP,1667520713
341,griffith,41.5284,-87.4237,293.09,60,0,4.12,US,1667520714
342,falam,22.9167,93.6833,286.1,97,91,0.48,MM,1667520714
343,suntar,62.1444,117.6319,256.25,94,73,2.25,RU,1667520473
344,sao felix do xingu,-6.6447,-51.995,297.48,72,87,0.49,BR,1667520716
345,sechura,-5.5569,-80.8222,292.06,72,24,6.97,PE,1667520717
346,henties bay,-22.116,14.2845,287.24,89,0,1.79,NA,1667520717
347,half moon bay,37.4636,-122.4286,289.72,51,0,5.14,US,1667520717
348,galesong,-5.3166,119.3661,299.16,73,94,1.85,ID,1667520718
349,naze,28.3667,129.4833,293.97,69,61,6.74,JP,1667520718
350,cassilandia,-19.1133,-51.7342,291.96,64,100,4.83,BR,1667520718
351,pacific grove,36.6177,-121.9166,290.05,65,0,5.81,US,1667520719
352,alexandria,31.2156,29.9553,293.73,60,0,1.12,EG,1667520563
353,berberati,4.2612,15.7922,292.95,91,98,0.45,CF,1667520719
354,saint-georges,12.0564,-61.7485,299.08,80,96,4.89,GD,1667520720
355,ndele,8.4109,20.6473,294.6,40,96,1.37,CF,1667520720
356,cockburn town,21.4612,-71.1419,300.2,69,19,6.09,TC,1667520558
357,mehamn,71.0357,27.8492,280.12,76,100,8.75,NO,1667520721
358,trairi,-3.2778,-39.2689,299.22,78,28,4.46,BR,1667520592
359,salalah,17.0151,54.0924,299.2,73,75,1.54,OM,1667520721
360,lomza,53.1781,22.0593,278.22,91,3,3.36,PL,1667520722
361,oktyabrskoye,43.0645,44.7417,279.23,100,84,0.0,RU,1667520722
362,tsogni,-2.7942,10.0988,295.87,89,100,0.76,GA,1667520723
363,sundsvall,62.3913,17.3063,280.35,99,100,2.06,SE,1667520723
364,saint george,37.1041,-113.5841,283.12,51,75,4.02,US,1667520607
365,bumba,2.1833,22.4667,294.64,97,100,0.28,CD,1667520724
366,vestmanna,62.1564,-7.1664,279.66,100,100,5.14,FO,1667520725
367,cedar city,37.6775,-113.0619,271.69,86,100,6.69,US,1667520433
